week_start,new_customers,new_dormant,dead_cross_index
2022-01-03,212,16,13.25
2022-01-10,207,20,10.35
2022-01-17,193,11,17.545
2022-01-24,188,16,11.75
2022-01-31,220,17,12.941
2022-02-07,227,20,11.35
2022-02-14,194,18,10.778
2022-02-21,219,33,6.636
2022-02-28,274,7,39.143
2022-03-07,283,29,9.759
2022-03-14,280,31,9.032
2022-03-21,287,28,10.25
2022-03-28,318,22,14.455
2022-04-04,323,31,10.419
2022-04-11,347,43,8.07
2022-04-18,373,30,12.433
2022-04-25,392,31,12.645
2022-05-02,368,19,19.368
2022-05-09,397,38,10.447
2022-05-16,381,37,10.297
2022-05-23,372,45,8.267
2022-05-30,515,24,21.458
2022-06-06,565,61,9.262
2022-06-13,584,53,11.019
2022-06-20,616,63,9.778
2022-06-27,725,55,13.182
2022-07-04,729,53,13.755
2022-07-11,755,83,9.096
2022-07-18,732,65,11.262
2022-07-25,768,80,9.6
2022-08-01,670,42,15.952
2022-08-08,696,97,7.175
2022-08-15,757,66,11.47
2022-08-22,719,67,10.731
2022-08-29,651,49,13.286
2022-09-05,546,46,11.87
2022-09-12,543,45,12.067
2022-09-19,532,54,9.852
2022-09-26,494,31,15.935
2022-10-03,411,32,12.844
2022-10-10,398,39,10.205
2022-10-17,389,30,12.967
2022-10-24,403,42,9.595
2022-10-31,340,14,24.286
2022-11-07,307,26,11.808
2022-11-14,293,28,10.464
2022-11-21,301,35,8.6
2022-11-28,250,20,12.5
2022-12-05,200,22,9.091
2022-12-12,203,17,11.941
2022-12-19,213,23,9.261
2022-12-26,230,37,6.216
2023-01-02,385,171,2.251
2023-01-09,399,228,1.75
2023-01-16,400,227,1.762
2023-01-23,395,233,1.695
2023-01-30,404,133,3.038
2023-02-06,444,170,2.612
2023-02-13,419,169,2.479
2023-02-20,461,163,2.828
2023-02-27,544,102,5.333
2023-03-06,620,212,2.925
2023-03-13,568,191,2.974
2023-03-20,597,218,2.739
2023-03-27,618,166,3.723
2023-04-03,726,205,3.541
2023-04-10,723,264,2.739
2023-04-17,772,281,2.747
2023-04-24,763,293,2.604
2023-05-01,813,172,4.727
2023-05-08,832,305,2.728
2023-05-15,804,302,2.662
2023-05-22,765,284,2.694
2023-05-29,1080,229,4.716
2023-06-05,1254,398,3.151
2023-06-12,1230,415,2.964
2023-06-19,1263,428,2.951
2023-06-26,1299,372,3.492
2023-07-03,1592,399,3.99
2023-07-10,1471,525,2.802
2023-07-17,1473,520,2.833
2023-07-24,1499,553,2.711
2023-07-31,1491,318,4.689
2023-08-07,1441,489,2.947
2023-08-14,1497,559,2.678
2023-08-21,1519,537,2.829
2023-08-28,1334,407,3.278
2023-09-04,1116,403,2.769
2023-09-11,1165,471,2.473
2023-09-18,1135,442,2.568
2023-09-25,1112,388,2.866
2023-10-02,786,274,2.869
2023-10-09,774,402,1.925
2023-10-16,811,378,2.146
2023-10-23,772,411,1.878
2023-10-30,675,272,2.482
2023-11-06,574,320,1.794
2023-11-13,586,345,1.699
2023-11-20,602,330,1.824
2023-11-27,518,315,1.644
2023-12-04,366,279,1.312
2023-12-11,384,327,1.174
2023-12-18,375,286,1.311
2023-12-25,382,342,1.117
2024-01-01,295,262,1.126
2024-01-08,288,404,0.713
2024-01-15,257,407,0.631
2024-01-22,272,442,0.615
2024-01-29,281,273,1.029
2024-02-05,306,454,0.674
2024-02-12,296,393,0.753
2024-02-19,297,436,0.681
2024-02-26,368,323,1.139
2024-03-04,452,526,0.859
2024-03-11,425,504,0.843
2024-03-18,415,523,0.793
2024-03-25,380,482,0.788
2024-04-01,508,431,1.179
2024-04-08,484,591,0.819
2024-04-15,510,603,0.846
2024-04-22,565,634,0.891
2024-04-29,561,431,1.302
2024-05-06,559,696,0.803
2024-05-13,516,693,0.745
2024-05-20,527,643,0.82
2024-05-27,650,520,1.25
2024-06-03,851,824,1.033
2024-06-10,855,871,0.982
2024-06-17,828,941,0.88
2024-06-24,902,871,1.036
2024-07-01,1091,857,1.273
2024-07-08,1051,1098,0.957
2024-07-15,1060,1160,0.914
2024-07-22,1035,1196,0.865
2024-07-29,1034,690,1.499
2024-08-05,1080,1156,0.934
2024-08-12,1148,1195,0.961
2024-08-19,1117,1256,0.889
2024-08-26,932,963,0.968
2024-09-02,762,841,0.906
2024-09-09,795,1088,0.731
2024-09-16,824,977,0.843
2024-09-23,827,1036,0.798
2024-09-30,603,651,0.926
2024-10-07,570,814,0.7
2024-10-14,532,827,0.643
2024-10-21,573,838,0.684
2024-10-28,539,606,0.889
2024-11-04,455,706,0.644
2024-11-11,433,698,0.62
2024-11-18,424,774,0.548
2024-11-25,420,708,0.593
2024-12-02,284,510,0.557
2024-12-09,291,641,0.454
2024-12-16,276,615,0.449
2024-12-23,297,630,0.471
2024-12-30,71,526,0.135
